team1,team2,team1_score,team2_score,match_date,match_time
Cloud9,LOUD,2,1,N/A,6:30 PM
Sentinels,MIBR,2,0,N/A,4:00 PM
GIANTX GC,Shopify Rebellion,0,2,N/A,3:30 PM
FOKUS,SK Gaming,2,0,N/A,1:10 PM
G2 Gozen,Karmine Corp GC,2,1,N/A,12:00 PM
KPI Gaming,Case Esports,3,2,N/A,11:00 AM
OnlyFins,SweetNsour,0,2,N/A,11:00 AM
MOUZ,CGN Esports,2,1,N/A,10:00 AM
Shopify Rebellion,Karmine Corp GC,2,0,N/A,9:45 AM
Dragon Ranger Gaming,JDG Esports,2,1,N/A,6:40 AM
BLEED,DetonatioN FocusMe,2,1,N/A,6:15 AM
G2 Gozen,GIANTX GC,1,2,N/A,6:00 AM
Bilibili Gaming,All Gamers,0,2,N/A,4:00 AM
Gen.G,DRX,1,2,N/A,3:00 AM
Barcelona Sporting X,KS Hunters,0,2,N/A,8:20 PM
Dough Bros,Winthrop University,1,2,N/A,6:20 PM
DREAMMAX,revoada,1,2,N/A,6:05 PM
9z Team GC,FiRePOWER,1,2,N/A,5:00 PM
M80,Turtle Troop,1,2,N/A,3:00 PM
donas da bala,Team Leveling,1,2,N/A,3:00 PM
FNATIC,KOI,2,0,N/A,1:55 PM
Team Liquid,GIANTX,2,1,N/A,10:00 AM
True Rippers,Medal Esports,2,0,N/A,6:30 AM
Nova Esports,FunPlus Phoenix,0,2,N/A,6:25 AM
Revenant Esports,Grayfox Esports,2,0,N/A,4:30 AM
Wolves Esports,Trace Esports,0,2,N/A,4:00 AM
LFG Portal,SLT Seongnam,3,1,N/A,3:00 AM
K7 Esports,FUSION X,0,2,N/A,7:35 PM
Together We Are Terrific,Thinking Men,1,2,N/A,5:05 PM
University War GC,KRÜ BLAZE,0,2,N/A,5:00 PM
LOUD GC,revoada,2,0,N/A,4:45 PM
YFP Gaming,Moist x Shopify,0,2,N/A,3:00 PM
MIBR GC,DREAMMAX,2,0,N/A,3:00 PM
Team Vitality,FUT Esports,2,1,N/A,12:15 PM
BBL Esports,Team Heretics,2,0,N/A,10:00 AM
Revenant Esports,Medal Esports,2,1,N/A,6:40 AM
Reckoning Esports,True Rippers,0,2,N/A,4:30 AM
Akave Esports GC,MYVRA,2,0,N/A,7:30 PM
Oxygen Esports,QoR,1,2,N/A,6:10 PM
TBS GC,Team Leveling,2,0,N/A,5:05 PM
Cruzados Esports Fem,LEVIATÁN GC,0,2,N/A,5:00 PM
TSM,SaD Esports,1,2,N/A,3:00 PM
Team Liquid Brazil,donas da bala,2,0,N/A,3:00 PM
Karmine Corp,Natus Vincere,1,2,N/A,12:00 PM
Gentle Mates,FNATIC,0,2,N/A,10:00 AM
BLEED,ZETA DIVISION,1,2,N/A,5:00 AM
T1,Rex Regum Qeon,2,0,N/A,3:00 AM
Cloud9,Evil Geniuses,2,1,N/A,4:00 PM
Global Esports,Talon Esports,1,2,N/A,5:10 AM
Gen.G,DetonatioN FocusMe,2,0,N/A,3:00 AM
NRG Esports,FURIA,2,0,N/A,6:20 PM
KRÜ Esports,MIBR,2,0,N/A,4:00 PM
Hero Base,Stellae Gaming,2,1,N/A,11:40 AM
DSYRE,NOVO Esports,3,1,N/A,11:25 AM
Apeks,OnlyFins,2,0,N/A,11:20 AM
Fire Flux Esports,Galakticos,3,0,N/A,9:30 AM
Galorys,Legacy,0,2,N/A,9:00 AM
Metizport,SweetNsour,1,2,N/A,8:00 AM
TYLOO,EDward Gaming,0,2,N/A,6:50 AM
BLEED,Rex Regum Qeon,0,2,N/A,6:00 AM
Dragon Ranger Gaming,Titan Esports Club,2,1,N/A,4:00 AM
Team Secret,ZETA DIVISION,2,1,N/A,3:00 AM
Sentinels,LEVIATÁN,0,2,N/A,6:25 PM
G2 Esports,100 Thieves,0,2,N/A,4:00 PM
2Game Esports,Hero Base,2,0,N/A,11:40 AM
OnlyFins,SweetNsour,2,1,N/A,10:20 AM
SAW,ELEVATE,3,1,N/A,10:00 AM
RED Canids,Galorys,2,0,N/A,9:00 AM
Apeks,Metizport,2,0,N/A,8:00 AM
Trace Esports,Bilibili Gaming,2,1,N/A,6:45 AM
T1,DRX,1,2,N/A,6:10 AM
All Gamers,Wolves Esports,0,2,N/A,4:00 AM
Gen.G,Paper Rex,1,2,N/A,3:00 AM
K7 Esports,Barcelona Sporting X,2,0,N/A,8:30 PM
QoR,Thinking Men,2,0,N/A,5:05 PM
University War GC,Cruzados Esports Fem,2,1,N/A,5:00 PM
M80,Winthrop University,2,0,N/A,3:00 PM
Hero Base,Legacy,2,0,N/A,1:30 PM
Karmine Corp,Gentle Mates,2,0,N/A,12:45 PM
Galorys,Stellae Gaming,2,0,N/A,11:00 AM
FNATIC,GIANTX,2,1,N/A,10:00 AM
FunPlus Phoenix,Dragon Ranger Gaming,2,1,N/A,7:15 AM
JiJieHao,EDGE,2,0,N/A,7:15 AM
Revenant Esports,Reckoning Esports,2,1,N/A,7:00 AM
MLT Esports,Grayfox Esports,2,0,N/A,4:30 AM
JDG Esports,Nova Esports,1,2,N/A,4:00 AM
FOCUSGG,Arena Internet Cafe,1,2,N/A,3:45 AM
KS Hunters,Akave Esports GC,0,2,N/A,7:35 PM
Oxygen Esports,YFP Gaming,2,0,N/A,5:25 PM
LEVIATÁN GC,9z Team GC,0,2,N/A,5:00 PM
Together We Are Terrific,Moist x Shopify,0,2,N/A,3:00 PM
TBK Esports,Legacy,2,3,N/A,3:00 PM
BBL Esports,KOI,2,0,N/A,1:20 PM
Team Liquid,Natus Vincere,1,2,N/A,10:00 AM
Medal Esports,Grayfox Esports,0,2,N/A,8:05 AM
BOBO,EDGE,1,2,N/A,5:30 AM
Orangutan,Reckoning Esports,1,2,N/A,4:30 AM
JiJieHao,iPGN,2,0,N/A,3:30 AM
FUSION X,MYVRA,0,2,N/A,7:10 PM
XLD Gaming,Legacy,0,2,N/A,6:10 PM
Turtle Troop,TSM,2,0,N/A,5:25 PM
FiRePOWER,KRÜ BLAZE,0,2,N/A,5:00 PM
SaD Esports,Dough Bros,2,0,N/A,3:00 PM
Stellae Gaming,TBK Esports,2,1,N/A,3:00 PM
Team Vitality,Team Heretics,2,1,N/A,1:10 PM
Karmine Corp,FUT Esports,1,2,N/A,10:00 AM
True Rippers,Grayfox Esports,0,2,N/A,7:05 AM
Arena Internet Cafe,Justice For Tomorrow,2,0,N/A,6:30 AM
Carnival Gaming,Orangutan,0,2,N/A,4:30 AM
FOCUSGG,Rub n' Pug,2,1,N/A,4:00 AM
Nongshim RedForce,SLT Seongnam,1,3,N/A,3:00 AM
Legacy,TBK Esports,0,2,N/A,5:00 PM
Stellae Gaming,XLD Gaming,2,0,N/A,3:00 PM
Ramboot Club,Case Esports,1,3,N/A,11:00 AM
GoNext Esports,Chipi Chapa's,3,1,N/A,10:00 AM
T1,DetonatioN FocusMe,1,2,N/A,5:10 AM
Gen.G,Talon Esports,2,0,N/A,3:00 AM
KRÜ Esports,FURIA,2,1,N/A,4:00 PM
KPI Gaming,UCAM Esports Club,3,1,N/A,11:00 AM
Diamant Esports,Chipi Chapa's,2,3,N/A,10:00 AM
Global Esports,DRX,0,2,N/A,6:20 AM
Team Secret,Rex Regum Qeon,1,2,N/A,3:00 AM
Sentinels,100 Thieves,2,0,N/A,6:10 PM
G2 Esports,Evil Geniuses,2,0,N/A,4:00 PM
Chipi Chapa's,Zero Tenacity,2,0,N/A,12:10 PM
SK Gaming,Ovation eSports,1,2,N/A,12:00 PM
Mandatory,Joblife,1,3,N/A,11:00 AM
VX300 Gaming,NOVO Esports,2,3,N/A,11:00 AM
Galatasaray Esports,Galakticos,0,3,N/A,10:30 AM
Formulation Gaming,who cars?,2,1,N/A,10:20 AM
Diamant Esports,GoNext Esports,0,2,N/A,10:00 AM
MLT Esports GC,9to5 workers,3,2,N/A,9:00 AM
Eintracht Frankfurt,DIVIZON,1,2,N/A,8:40 AM
Metizport,Apeks,0,2,N/A,8:00 AM
Unicorns of Love,MOUZ,0,2,N/A,7:00 AM
T1,Paper Rex,0,2,N/A,6:15 AM
FunPlus Phoenix,Wolves Esports,2,0,N/A,6:15 AM
Nova Esports,Trace Esports,0,2,N/A,4:00 AM
BLEED,Talon Esports,1,2,N/A,3:00 AM
NRG Esports,LOUD,2,0,N/A,8:00 PM
Cloud9,LEVIATÁN,2,1,N/A,4:00 PM
Zero Tenacity,GoNext Esports,0,2,N/A,1:10 PM
RIZON,ALTERNATE aTTaX,1,2,N/A,12:00 PM
Galatasaray Esports,Fire Flux Esports,0,2,N/A,12:00 PM
Team Liquid Brazil,MIBR GC,3,1,N/A,11:00 AM
VALIANT,Akroma,3,2,N/A,11:00 AM
9to5 workers,Hexagon,2,0,N/A,11:00 AM
SweetNsour,OnlyFins,0,2,N/A,10:05 AM
Diamant Esports,Chipi Chapa's,2,1,N/A,10:00 AM
CGN Esports,FOKUS,0,2,N/A,10:00 AM
Galakticos,HOWL Esports,2,0,N/A,9:30 AM
Team Celestials,MLT Esports GC,0,2,N/A,9:00 AM
apinaorkesteri,NXT,2,0,N/A,8:00 AM
EDward Gaming,JDG Esports,2,1,N/A,7:45 AM
Team Secret,DRX,0,2,N/A,6:00 AM
Dragon Ranger Gaming,All Gamers,1,2,N/A,4:00 AM
Global Esports,ZETA DIVISION,1,2,N/A,3:00 AM
Bon Bon Bum,OK Gaming,2,0,N/A,8:00 PM
FlyQuest RED,Kinetic,2,0,N/A,7:20 PM
Oxygen Esports,Together We Are Terrific,2,0,N/A,6:20 PM
MIBR GC,LOUD GC,2,0,N/A,6:05 PM
RETA Esports,Six Karma,3,0,N/A,6:00 PM
Reformed Team,Deagle Ravagers,2,1,N/A,5:00 PM
Team Liquid Brazil,TBS GC,2,0,N/A,4:00 PM
Teddy Tactics,Kinetic,1,2,N/A,4:00 PM
Turtle Troop,SaD Esports,2,1,N/A,3:00 PM
BBL Esports,Gentle Mates,0,2,N/A,12:00 PM
Team Liquid,FUT Esports,0,2,N/A,10:00 AM
Wolves Esports,Titan Esports Club,1,2,N/A,7:10 AM
Orangutan,True Rippers,0,2,N/A,6:55 AM
Xipto Esports,BOBA,3,0,N/A,6:00 AM
Carnival Gaming,MLT Esports,0,2,N/A,4:30 AM
Bilibili Gaming,TYLOO,2,1,N/A,4:00 AM
Legacy,CO-OP.gg,2,0,N/A,6:40 PM
E-Xolos LAZER,Six Karma,2,3,N/A,6:00 PM
M80,Dough Bros,2,0,N/A,5:05 PM
OLIMPO,2Game Esports,2,1,N/A,3:00 PM
TSM,Winthrop University,2,0,N/A,3:00 PM
FNATIC,Team Heretics,0,2,N/A,12:10 PM
Team Vitality,Natus Vincere,0,2,N/A,10:00 AM
Revenant Esports,True Rippers,1,2,N/A,7:35 AM
Dplus Esports,SLT Seongnam,0,2,N/A,7:30 AM
BOBA,AURA DIFFERENTIAL,2,0,N/A,7:00 AM
ONE Team Esports,Oblivion Force,3,0,N/A,6:00 AM
MLT Esports,Medal Esports,2,1,N/A,4:30 AM
LFG Portal,Nongshim RedForce,2,1,N/A,3:00 AM
Hero Base,XLD Gaming,2,0,N/A,6:10 PM
YFP Gaming,QoR,0,2,N/A,6:10 PM
RED Canids,TBK Esports,1,2,N/A,3:00 PM
Stellae Gaming,Galorys,1,2,N/A,3:00 PM
9z Team,All Knights,3,2,N/A,3:00 PM
Thinking Men,Moist x Shopify,1,2,N/A,3:00 PM
KOI,Team Liquid,0,2,N/A,12:05 PM
Karmine Corp,GIANTX,2,0,N/A,10:00 AM
Carnival Gaming,Revenant Esports,0,2,N/A,7:20 AM
AURA DIFFERENTIAL,RIMA GC,2,1,N/A,6:20 AM
Oblivion Force,PEI WAN E-SPORTS,3,0,N/A,6:00 AM
IAM,SLT Seongnam,0,2,N/A,5:35 AM
Orangutan,Medal Esports,0,2,N/A,4:30 AM
Xipto Esports,BOBA,2,0,N/A,4:00 AM
Dplus Esports,SHERPA,2,0,N/A,3:00 AM
All Knights,Furious Gaming,3,0,N/A,3:00 PM
FIVE Media Clan,Case Esports,0,3,N/A,11:00 AM
ONE Team Esports,Oblivion Force,2,0,N/A,9:05 AM
Money First,RIMA GC,1,2,N/A,6:30 AM
PEI WAN E-SPORTS,Hungkuang Falcon,2,1,N/A,6:00 AM
Mommy's Kittens,AURA DIFFERENTIAL,0,2,N/A,4:00 AM
NASR Esports,R8 Esports,0,3,N/A,1:00 PM
HOWL Esports,İstanbul Wildcats,2,0,N/A,12:00 PM
UCAM Esports Club,Barça eSports,3,2,N/A,11:00 AM
Papara SuperMassive,Galakticos,0,2,N/A,9:30 AM
RIMA GC,Dangerous Rose,2,0,N/A,6:15 AM
BOBA,Money First,2,0,N/A,6:00 AM
Xipto Esports,Mommy's Kittens,2,0,N/A,4:00 AM
AURA DIFFERENTIAL,LILITH,2,0,N/A,4:00 AM
Team Falcons,Unity Esports,3,1,N/A,1:00 PM
Unicorns of Love,ALTERNATE aTTaX,2,1,N/A,12:30 PM
Joblife,Akroma,3,1,N/A,11:00 AM
FOKUS,SK Gaming,1,2,N/A,9:10 AM
RIZON,CGN Esports,0,2,N/A,7:00 AM
Alter Ego,BOOM Esports,3,0,N/A,1:00 AM
REJECT,FENNEL,2,3,N/A,12:00 AM
EDGE,Koopa Troopas,2,0,N/A,11:30 PM
iPGN,Funcrew,2,0,N/A,11:30 PM
LaZe,ORGLESS,0,3,N/A,11:00 PM
Van Lyn,RyZe Esports,2,0,N/A,7:40 PM
Nearest Airport,RyZe Esports,0,2,N/A,5:00 PM
Van Lyn,Boise State University,2,0,N/A,2:00 PM
Fire Flux Esports,Papara SuperMassive,2,0,N/A,12:50 PM
Ovation eSports,Eintracht Frankfurt,2,0,N/A,12:35 PM
Mandatory,VALIANT,3,2,N/A,12:00 PM
NOVO Esports,HGE Esport,3,0,N/A,12:00 PM
apinaorkesteri,Metizport,0,2,N/A,11:30 AM
DIVIZON,MOUZ,0,2,N/A,10:15 AM
HOWL Esports,Galatasaray Esports,1,2,N/A,9:30 AM
NXT,who cars?,2,0,N/A,9:00 AM
CGN Esports,ALTERNATE aTTaX,2,0,N/A,8:00 AM
NAOS,ZOL Esports,1,3,N/A,2:00 AM
BOOM Esports,ARF TEAM,3,0,N/A,1:00 AM
FENNEL,Sengoku Gaming,3,2,N/A,12:00 AM
ORGLESS,Disguised,3,0,N/A,11:00 PM
E-Xolos LAZER,RETA Esports,0,2,N/A,8:35 PM
Van Lyn,NOTILT,2,1,N/A,5:50 PM
Foreigners,Boise State University,1,2,N/A,5:50 PM
TSM,Dough Bros,2,0,N/A,5:35 PM
Six Karma,Mookah Rabbits,2,1,N/A,5:00 PM
DIVIZON,Unicorns of Love,2,1,N/A,3:40 PM
Turtle Troop,Winthrop University,0,2,N/A,3:00 PM
İstanbul Wildcats,Papara SuperMassive,0,2,N/A,1:25 PM
Formulation Gaming,OnlyFins,1,2,N/A,12:00 PM
MOUZ,Ovation eSports,2,1,N/A,12:00 PM
Galakticos,Galatasaray Esports,1,2,N/A,9:30 AM
Disguised,NEXGA,2,0,N/A,7:40 AM
Money First,Baby Poko,2,0,N/A,7:00 AM
Xinh Gai Tay To,Deviant Topaz,0,2,N/A,7:00 AM
ORGLESS,LaZe,0,2,N/A,5:45 AM
ZOL Esports,JustUs,2,1,N/A,4:00 AM
BOOM Esports,Alter Ego,0,2,N/A,4:00 AM
Arena Internet Cafe,Arcade Esports,2,0,N/A,2:30 AM
iPGN,Justice For Tomorrow,1,2,N/A,2:30 AM
Peace And Love,Rub n' Pug,1,2,N/A,2:30 AM
NAOS,OLD STINKY CAT,2,0,N/A,2:00 AM
ARF TEAM,MABUHAY,2,0,N/A,2:00 AM
RETA Esports,Mookah Rabbits,2,0,N/A,8:15 PM
1Millisecond Black,One Percenters,16,18,N/A,8:00 PM
Nearest Airport,Corinthians 1920:1080,2,0,N/A,8:00 PM
1Millisecond Black,Boise State University,5,13,N/A,6:30 PM
QoR,Moist x Shopify,0,2,N/A,5:25 PM
OLIMPO,TBK Esports,2,0,N/A,5:15 PM
E-Xolos LAZER,Six Karma,2,1,N/A,5:00 PM
Stellae Gaming,RED Canids,0,2,N/A,3:00 PM
Oxygen Esports,Thinking Men,2,0,N/A,3:00 PM
Van Lyn,Luxoria,2,0,N/A,3:00 PM
NOTILT,Foreigners,1,2,N/A,3:00 PM
SweetNsour,Apeks,0,2,N/A,12:00 PM
DSYRE,VX300 Gaming,3,1,N/A,12:00 PM
S2 Esports,Hungkuang Falcon,0,2,N/A,9:30 AM
Ninjas in Galaxy,NEXGA,0,2,N/A,8:50 AM
NANA AND FRIENDS,Mommy's Kittens,0,2,N/A,7:00 AM
4Fun,RIMA GC,1,2,N/A,7:00 AM
Nongshim RedForce,Dplus Esports,2,0,N/A,6:10 AM
Disguised,Please Don't Fire,2,1,N/A,6:00 AM
PEI WAN E-SPORTS,Five Ace Esports,2,1,N/A,6:00 AM
Oasis Gaming,JustUs,0,2,N/A,4:05 AM
LFG Portal,IAM,2,0,N/A,3:00 AM
JiJieHao,FOCUSGG,1,2,N/A,2:30 AM
Antic Esports,Arena Internet Cafe,2,1,N/A,2:30 AM
OLD STINKY CAT,Carti Esports,2,0,N/A,2:00 AM
ARF TEAM,THE HERO,2,0,N/A,1:30 AM
MABUHAY,5 Clown,2,0,N/A,11:00 PM
M80,SaD Esports,2,0,N/A,5:40 PM
Legacy,Galorys,0,2,N/A,4:55 PM
9z Team,All Knights,2,1,N/A,4:25 PM
R8 Esports,Onyx Ravens,2,0,N/A,3:35 PM
Hero Base,CO-OP.gg,2,0,N/A,3:00 PM
2Game Esports,XLD Gaming,2,1,N/A,3:00 PM
YFP Gaming,Together We Are Terrific,0,2,N/A,3:00 PM
Furious Gaming,XSOUL,2,0,N/A,2:00 PM
Unity Esports,Underground Gaming,2,0,N/A,1:00 PM
Xipto Esports,Vandals,2,0,N/A,11:00 AM
Oblivion Force,PEI WAN E-SPORTS,2,0,N/A,9:30 AM
Disguised,LaZe,0,2,N/A,8:40 AM
Dplus Esports,SLT Seongnam,2,1,N/A,7:55 AM
RAVENOUS,Halo Freyja,0,2,N/A,7:00 AM
Phenix Claire,Reseda OKAMI,2,1,N/A,7:00 AM
ORGLESS,Ninjas in Galaxy,2,1,N/A,6:00 AM
S2 Esports,ONE Team Esports,1,2,N/A,6:00 AM
IAM,SHERPA,2,1,N/A,3:00 AM
BOOM Esports,MABUHAY,2,0,N/A,1:50 AM
ARF TEAM,Alter Ego,1,2,N/A,11:00 PM
All Knights,XSOUL,2,0,N/A,5:00 PM
Onyx Ravens,Team RA'AD,2,0,N/A,3:10 PM
KPI Gaming,UCAM Esports Club,13,9,N/A,3:00 PM
Ramboot Club,ZETA Gaming,13,11,N/A,2:00 PM
9z Team,Furious Gaming,2,0,N/A,2:00 PM
FIVE Media Clan,Barça eSports,13,7,N/A,1:00 PM
The Ultimates,Underground Gaming,0,2,N/A,1:00 PM
Case Esports,AYM Esports,13,6,N/A,12:00 PM
PEI WAN E-SPORTS,Hungkuang Falcon,2,1,N/A,8:00 AM
Fear Eater Sierra,Deviant Topaz,0,2,N/A,7:00 AM
Glass Girls,LILITH,0,2,N/A,7:00 AM
ONE Team Esports,Five Ace Esports,2,0,N/A,6:00 AM
JiJieHao,Justice For Tomorrow,2,0,N/A,2:30 AM
FOCUSGG,Peace And Love,2,0,N/A,2:30 AM
Antic Esports,Arcade Esports,2,1,N/A,2:30 AM
EDGE,Arena Internet Cafe,0,2,N/A,2:30 AM
After Life Esports,iPGN,0,2,N/A,2:30 AM
Alter Ego,5 Clown,2,0,N/A,2:00 AM
MABUHAY,THE HERO,2,1,N/A,11:00 PM
R8 Esports,NASR Esports,0,2,N/A,4:20 PM
Barça eSports,Ramboot Club,10,13,N/A,3:00 PM
Case Esports,ZETA Gaming,13,4,N/A,2:00 PM
FIVE Media Clan,KPI Gaming,7,13,N/A,1:00 PM
Team Falcons,Unity Esports,2,1,N/A,1:00 PM
AYM Esports,UCAM Esports Club,2,13,N/A,12:00 PM
JiJieHao,Xu Gang,2,0,N/A,2:30 AM
Justice For Tomorrow,Koopa Troopas,2,1,N/A,2:30 AM
FOCUSGG,club penguin,2,0,N/A,2:30 AM
Funcrew,EDGE,0,2,N/A,2:30 AM
Arena Internet Cafe,Corn Dawgs,2,1,N/A,2:30 AM
Gen.G,Sentinels,2,3,N/A,11:15 AM
Team International,Team Spain,8,13,N/A,10:00 AM
Sentinels,Paper Rex,3,1,N/A,10:00 AM
Team Liquid Brazil,MIBR GC,3,1,N/A,4:15 PM
Paper Rex,LOUD,2,0,N/A,12:55 PM
Gen.G,Sentinels,2,1,N/A,10:00 AM
Turtle Troop,Dough Bros,2,1,N/A,6:35 PM
LOUD GC,MIBR GC,0,2,N/A,6:30 PM
YFP Gaming,Thinking Men,2,1,N/A,3:00 PM
Sentinels,LOUD,2,1,N/A,12:10 PM
Gen.G,Paper Rex,2,0,N/A,10:00 AM
SLT Seongnam,IAM,1,2,N/A,2:15 AM
Incheon On Sla2ers,LFG Portal,0,2,N/A,11:00 PM
QoR,Together We Are Terrific,1,2,N/A,5:30 PM
Hero Base,2Game Esports,1,2,N/A,5:00 PM
Galorys,CO-OP.gg,2,0,N/A,3:00 PM
M80,TSM,2,0,N/A,3:00 PM
Nongshim RedForce,Dplus Esports,2,0,N/A,6:35 AM
Maru Gaming,SHERPA,2,1,N/A,3:00 AM
SaD Esports,Winthrop University,2,1,N/A,6:55 PM
Legacy,RED Canids,0,2,N/A,6:50 PM
TBK Esports,XLD Gaming,0,2,N/A,3:00 PM
Stellae Gaming,OLIMPO,2,1,N/A,3:00 PM
Oxygen Esports,Moist x Shopify,1,2,N/A,3:00 PM
Karmine Corp,Paper Rex,1,2,N/A,11:55 AM
LOUD,EDward Gaming,2,0,N/A,10:00 AM
Team Heretics,Paper Rex,1,2,N/A,12:20 PM
FunPlus Phoenix,LOUD,0,2,N/A,10:00 AM
Eintracht Frankfurt,ALTERNATE aTTaX,2,1,N/A,6:00 AM
ENDER,Please Don't Fire,1,2,N/A,3:00 AM
NEXGA,Ninjas in Galaxy,0,2,N/A,1:00 AM
Disguised,LaZe,2,0,N/A,11:00 PM
EDward Gaming,Gen.G,1,2,N/A,12:25 PM
Sentinels,Karmine Corp,2,0,N/A,10:00 AM
Eintracht Frankfurt,FOKUS,0,2,N/A,6:00 AM
Blitz Esports,ORGLESS,0,2,N/A,5:00 AM
Grayfox Esports,True Rippers,3,2,N/A,3:30 AM
ENDER,NEXGA,1,2,N/A,12:45 AM
Revenant Esports,True Rippers,0,2,N/A,12:00 AM
LaZe,Please Don't Fire,2,0,N/A,11:00 PM
Sentinels,Team Heretics,2,1,N/A,1:15 PM
EDward Gaming,Paper Rex,2,1,N/A,10:00 AM
Ninjas in Galaxy,ORGLESS,1,2,N/A,6:00 AM
True Rippers,Medal Esports,2,0,N/A,3:30 AM
SLT Seongnam,Maru Gaming,2,1,N/A,3:00 AM
Dplus Esports,Incheon On Sla2ers,2,1,N/A,3:00 AM
LFG Portal,Nongshim RedForce,2,1,N/A,12:00 AM
IAM,SHERPA,2,0,N/A,12:00 AM
Revenant Esports,Grayfox Esports,0,2,N/A,12:00 AM
FUSION,Six Karma,1,2,N/A,8:05 PM
Furious Gaming,OXEN,2,0,N/A,5:30 PM
Gen.G,LOUD,2,1,N/A,12:25 PM
Karmine Corp,FunPlus Phoenix,2,0,N/A,10:00 AM
Disguised,Blitz Esports,2,1,N/A,6:00 AM
Grayfox Esports,Medal Esports,2,1,N/A,3:30 AM
Dplus Esports,SLT Seongnam,1,2,N/A,3:00 AM
Revenant Esports,True Rippers,2,0,N/A,12:00 AM
Incheon On Sla2ers,Maru Gaming,2,1,N/A,11:15 PM
FUSION,RETA Esports,2,0,N/A,6:20 PM
XLD Gaming,Stellae Gaming,0,2,N/A,5:45 PM
E-Xolos LAZER,19esports,2,0,N/A,4:20 PM
Legacy,OLIMPO,0,2,N/A,3:00 PM
Acend,Chipi Chapa's,1,2,N/A,2:35 PM
Six Karma,Mookah Rabbits,0,2,N/A,2:00 PM
Chipi Chapa's,ESC Gaming,2,0,N/A,12:15 PM
Acend,GoNext Esports,1,2,N/A,9:00 AM
PEI WAN E-SPORTS,ONE Team Esports,1,2,N/A,8:20 AM
LFG Portal,IAM,1,2,N/A,7:15 AM
ROA Esport,S2 Esports,0,2,N/A,6:00 AM
LaZe,NEXGA,2,0,N/A,6:00 AM
Fancy United Esports,Team Flash,0,3,N/A,5:00 AM
NORTHEPTION,Sengoku Gaming,0,2,N/A,4:00 AM
1st MegaSaver,OLD STINKY CAT,0,2,N/A,3:30 AM
SHERPA,Nongshim RedForce,2,1,N/A,3:00 AM
Valhalla,ZOL Esports,0,2,N/A,2:45 AM
FENNEL,REJECT,0,2,N/A,1:30 AM
Carti Esports,Oasis Gaming,0,2,N/A,12:55 AM
TBK Esports,2Game Esports,2,1,N/A,5:10 PM
All Knights,9z Team,2,0,N/A,5:00 PM
R8 Esports,Onyx Ravens,2,0,N/A,4:00 PM
Hero Base,Galorys,0,2,N/A,3:00 PM
RED Canids,CO-OP.gg,2,0,N/A,3:00 PM
XSOUL,Furious Gaming,0,2,N/A,2:45 PM
Acend,Chipi Chapa's,2,0,N/A,1:10 PM
Underground Gaming,Team Falcons,1,2,N/A,1:00 PM
Nottingham Miedo,OXEN,0,2,N/A,12:00 PM
S2G Esports,Regnum Carya Esports,2,0,N/A,11:30 AM
GoNext Esports,ESC Gaming,2,0,N/A,11:00 AM
Papara SuperMassive,İstanbul Wildcats,2,0,N/A,9:30 AM
Carti Esports,NAOS,0,2,N/A,5:50 AM
Team Flash,Rapid Lofi,3,2,N/A,5:00 AM
VARREL,Sengoku Gaming,0,2,N/A,4:15 AM
JustUs,Geek Fam,2,0,N/A,3:55 AM
NORTHEPTION,Murash Gaming,2,0,N/A,1:30 AM
AIM PH,Oasis Gaming,1,2,N/A,12:55 AM
RTZN,QLASH,13,10,N/A,4:15 PM
DSYRE,Outplayed,13,9,N/A,3:15 PM
Onyx Ravens,Team Occupy,2,1,N/A,3:10 PM
VX300 Gaming,HGE Esport,6,13,N/A,2:10 PM
Fire Flux Esports,Fenerbahçe Esports,2,1,N/A,1:15 PM
Twisted Minds Esports,The Ultimates,0,2,N/A,1:15 PM
NOVO Esports,Axolotl,9,13,N/A,1:00 PM
G2 Gozen,Team Falcons Vega,3,0,N/A,11:00 AM
Galatasaray Esports,Galakticos,2,1,N/A,9:30 AM
Geek Fam,NAOS,0,2,N/A,5:30 AM
JustUs,Valhalla,0,2,N/A,3:00 AM
1st MegaSaver,AIM PH,0,2,N/A,12:50 AM
KS Hunters,Akave Esports GC,1,2,N/A,7:05 PM
9z Team GC,KRÜ BLAZE,0,2,N/A,5:00 PM
Shopify Rebellion,FlyQuest RED,3,0,N/A,4:00 PM
VX300 Gaming,NOVO Esports,14,12,N/A,3:55 PM
DVM Esport,VALIANT,2,1,N/A,3:10 PM
HGE Esport,Outplayed,0,13,N/A,3:10 PM
QLASH,DSYRE,3,13,N/A,2:20 PM
HOWL Esports,S2G Esports,2,0,N/A,1:40 PM
Axolotl,RTZN,13,10,N/A,1:00 PM
SK Gaming,RIZON,2,0,N/A,12:30 PM
Solary,Zerance,2,1,N/A,12:00 PM
Digital Athletics,Papara SuperMassive,0,2,N/A,11:25 AM
Metizport,who cars?,2,0,N/A,11:20 AM
Ovation eSports,DIVIZON,0,2,N/A,11:00 AM
Team Falcons Vega,GIANTX GC,3,2,N/A,11:00 AM
Impulse GW,ELEVATE,0,2,N/A,10:00 AM
OnlyFins,Apeks,0,2,N/A,9:00 AM
MOUZ,FOKUS,2,0,N/A,8:00 AM
Fire Flux Esports,İstanbul Wildcats,2,1,N/A,7:30 AM
LAZY,Rapid Lofi,0,2,N/A,7:00 AM
